OCC_SITEID,LATITUDE,LONGITUDE,REGION,STATUS,NA_COUNT
OCC-OFU-001,-14.15688,190.32579,AMSM,Active,0
OCC-OFU-002,-14.15754,190.32581,AMSM,Active,0
OCC-OFU-003,-14.15876,190.32588,AMSM,Active,0
OCC-OFU-004,-14.16463,190.34432,AMSM,Active,0
OCC-OFU-005,-14.16373,190.37565,AMSM,Active,0
OCC-OFU-006,-14.16844,190.39212,AMSM,Active,0
OCC-OFU-007,-14.18128,190.37317,AMSM,Active,0
OCC-OFU-008,-14.18075,190.34799,AMSM,Active,0
OCC-OFU-009,-14.18054,190.34792,AMSM,Active,0
OCC-OFU-010,-14.18025,190.34779,AMSM,Active,0
OCC-OFU-011,-14.17771,190.34738,AMSM,Active,0
OCC-OFU-012,-14.1865,190.3398,AMSM,Active,0
OCC-OFU-013,-14.17543,190.31656,AMSM,Active,0
OCC-OFU-014,-14.17421,190.31805,AMSM,Active,0
OCC-ROS-001,-14.53866,191.85422,AMSM,Active,0
OCC-ROS-002,-14.53875,191.85419,AMSM,Active,0
OCC-ROS-003,-14.53897,191.8539,AMSM,Active,0
OCC-ROS-004,-14.53989,191.85206,AMSM,Active,0
OCC-ROS-006,-14.5491,191.86217,AMSM,Active,0
OCC-ROS-008,-14.55962,191.84003,AMSM,Active,0
OCC-ROS-009,-14.54873,191.83125,AMSM,Active,0
OCC-ROS-010,-14.54867,191.83127,AMSM,Active,0
OCC-ROS-011,-14.54849,191.83146,AMSM,Active,0
OCC-ROS-012,-14.54836,191.8355,AMSM,Active,0
OCC-ROS-013,-14.54222,191.8273,AMSM,Active,0
OCC-ROS-014,-14.53644,191.83485,AMSM,Active,0
OCC-ROS-015,-14.53294,191.8428,AMSM,Active,0
OCC-ROS-016,-14.53782,191.84654,AMSM,Active,0
OCC-ROS-017,-14.55134,191.83984,AMSM,Active,0
OCC-SWA-001,-11.04588,188.92345,AMSM,Active,0
OCC-SWA-002,-11.05252,188.93534,AMSM,Active,0
OCC-SWA-003,-11.05253,188.93526,AMSM,Active,0
OCC-SWA-004,-11.05263,188.93505,AMSM,Active,0
OCC-SWA-005,-11.06818,188.91882,AMSM,Active,0
OCC-SWA-006,-11.05868,188.90886,AMSM,Active,0
OCC-SWA-007,-11.05861,188.90901,AMSM,Active,0
OCC-SWA-008,-11.05863,188.90928,AMSM,Active,0
OCC-SWA-009,-11.05719,188.90961,AMSM,Active,0
OCC-TAU-001,-14.21085,190.55939,AMSM,Active,0
OCC-TAU-002,-14.21179,190.55907,AMSM,Active,0
OCC-TAU-003,-14.21299,190.55823,AMSM,Active,0
OCC-TAU-004,-14.22716,190.58188,AMSM,Active,0
OCC-TAU-005,-14.22736,190.58182,AMSM,Active,0
OCC-TAU-006,-14.22724,190.58128,AMSM,Active,0
OCC-TAU-007,-14.25116,190.55306,AMSM,Active,0
OCC-TAU-008,-14.26257,190.52525,AMSM,Active,0
OCC-TAU-010,-14.25751,190.49863,AMSM,Active,0
OCC-TAU-011,-14.25756,190.49901,AMSM,Active,0
OCC-TAU-012,-14.25734,190.49975,AMSM,Active,0
OCC-TAU-013,-14.21738,190.48692,AMSM,Active,0
OCC-TUT-001,-14.24456,189.33983,AMSM,Active,0
OCC-TUT-002,-14.24473,189.33989,AMSM,Active,0
OCC-TUT-003,-14.24558,189.33954,AMSM,Active,0
OCC-TUT-005,-14.24606,189.42818,AMSM,Active,0
OCC-TUT-006,-14.28529,189.43572,AMSM,Active,0
OCC-TUT-007,-14.28521,189.43599,AMSM,Active,0
OCC-TUT-008,-14.28531,189.43613,AMSM,Active,0
OCC-TUT-009,-14.27782,189.39279,AMSM,Active,0
OCC-TUT-010,-14.28866,189.36546,AMSM,Active,0
OCC-TUT-011,-14.28841,189.36544,AMSM,Active,0
OCC-TUT-012,-14.28443,189.36207,AMSM,Active,0
OCC-TUT-013,-14.28308,189.36121,AMSM,Active,0
OCC-TUT-014,-14.31097,189.35772,AMSM,Active,0
OCC-TUT-015,-14.33654,189.29593,AMSM,Active,0
OCC-TUT-016,-14.36339,189.23614,AMSM,Active,0
OCC-TUT-017,-14.36347,189.23686,AMSM,Active,0
OCC-TUT-018,-14.36311,189.23695,AMSM,Active,0
OCC-TUT-019,-14.36261,189.23713,AMSM,Active,0
OCC-TUT-021,-14.29448,189.18802,AMSM,Active,0
OCC-TUT-022,-14.29464,189.188,AMSM,Active,0
OCC-TUT-023,-14.29173,189.21943,AMSM,Active,0
OCC-TUT-024,-14.29493,189.18804,AMSM,Active,0
OCC-TUT-025,-14.28323,189.27199,AMSM,Active,0
OCC-TUT-026,-14.28142,189.27526,AMSM,Active,0
OCC-TUT-027,-14.28152,189.27538,AMSM,Active,0
OCC-TUT-028,-14.28176,189.27556,AMSM,Active,0
OCC-TUT-029,-14.26046,189.28813,AMSM,Active,0
OCC-TUT-030,-14.28352,189.36204,AMSM,Active,0
OCC-HAW-001,20.27026,204.13901,MHI,Active,0
OCC-HAW-002,20.26822,204.13959,MHI,Active,0
OCC-HAW-007,19.05802,204.44978,MHI,Active,0
OCC-HAW-008,19.06071,204.44763,MHI,Active,0
