OCC_SITEID,LATITUDE,LONGITUDE,NA_COUNT
OCC-AGR-001,18.80745,145.64871,0
OCC-AGR-002,18.79776,145.68767,0
OCC-AGR-003,18.74842,145.6946,0
OCC-AGR-004,18.72673,145.66317,0
OCC-AGR-005,18.75727,145.64035,0
OCC-AGU-001,14.84775,145.53722,0
OCC-ALA-001,17.61484,145.84253,0
OCC-ALA-002,17.58746,145.81869,0
OCC-ANA-001,16.33289,145.7027,0
OCC-ASC-001,19.70841,145.40303,0
OCC-ASC-002,19.69984,145.41759,0
OCC-ASC-003,19.67693,145.41079,0
OCC-ASC-004,19.68034,145.39133,0
OCC-ASC-005,19.69025,145.38852,0
OCC-ASC-006,19.69338,145.38965,0
OCC-FDP-001,20.53755,144.89951,0
OCC-FDP-002,20.54518,144.88572,0
OCC-GUA-001,13.60387,144.92395,0
OCC-GUA-002,13.60334,144.92367,0
OCC-GUA-003,13.60229,144.9234,0
OCC-GUA-004,13.47379,144.86602,0
OCC-GUA-005,13.4752,144.86489,0
OCC-GUA-006,13.47596,144.86356,0
OCC-GUA-007,13.29149,144.76768,0
OCC-GUA-008,13.24083,144.70444,0
OCC-GUA-009,13.24121,144.70449,0
OCC-GUA-010,13.24216,144.70398,0
OCC-GUA-011,13.24343,144.70053,0
OCC-GUA-012,13.4488,144.62593,0
OCC-GUA-013,13.47556,144.69917,0
OCC-GUA-014,13.52894,144.80018,0
OCC-GUA-015,13.52896,144.80035,0
OCC-GUA-016,13.52902,144.80047,0
OCC-GUA-017,13.52886,144.8013,0
OCC-GUG-001,17.31068,145.85364,0
OCC-GUG-002,17.30753,145.83081,0
OCC-GUG-003,17.30734,145.83139,0
OCC-MAU-001,20.03657,145.225,0
OCC-MAU-002,20.03567,145.2247,0
OCC-MAU-003,20.03479,145.22467,0
OCC-MAU-004,20.02022,145.24041,0
OCC-MAU-005,20.02039,145.23978,0
OCC-MAU-006,20.02056,145.23946,0
OCC-MAU-007,20.01235,145.20778,0
OCC-MAU-008,20.01315,145.20806,0
OCC-MAU-009,20.0142,145.20909,0
OCC-MAU-010,20.01442,145.20954,0
OCC-MAU-011,20.01768,145.20729,0
OCC-MAU-012,20.01778,145.20767,0
OCC-MAU-013,20.02979,145.20846,0
OCC-MAU-014,20.03525,145.2173,0
OCC-MAU-015,20.02915,145.23196,0
OCC-MAU-016,20.02319,145.22986,0
OCC-MAU-017,20.01399,145.22727,0
OCC-MAU-018,20.0225,145.2297,0
OCC-MAU-019,20.014,145.2275,0
OCC-PAG-001,18.16913,145.79535,0
OCC-PAG-002,18.16788,145.79494,0
OCC-PAG-003,18.16754,145.79482,0
OCC-PAG-004,18.10294,145.76781,0
OCC-PAG-005,18.09539,145.76544,0
OCC-PAG-006,18.09609,145.76487,0
OCC-PAG-007,18.09643,145.76412,0
OCC-PAG-008,18.04462,145.70502,0
OCC-PAG-009,18.04561,145.70621,0
OCC-PAG-010,18.04588,145.70751,0
OCC-PAG-011,18.09755,145.751,0
OCC-PAG-012,18.1205,145.75339,0
OCC-PAG-013,18.12019,145.75458,0
OCC-PAG-014,18.12099,145.75678,0
OCC-PAG-015,18.12264,145.75743,0
OCC-ROT-001,14.18318,145.20713,0
OCC-ROT-002,14.17503,145.2863,0
OCC-ROT-003,14.11394,145.16692,0
OCC-SAI-001,15.29089,145.80931,0
OCC-SAI-002,15.29062,145.80942,0
OCC-SAI-003,15.29005,145.80949,0
OCC-SAI-004,15.25791,145.81665,0
OCC-SAI-005,15.25867,145.81567,0
OCC-SAI-006,15.17487,145.78949,0
OCC-SAI-007,15.15611,145.76971,0
OCC-SAI-008,15.09779,145.74279,0
OCC-SAI-009,15.09788,145.74338,0
OCC-SAI-010,15.09835,145.74437,0
OCC-SAI-011,15.15765,145.68593,0
OCC-SAI-012,15.15638,145.68977,0
OCC-SAI-013,15.15466,145.69243,0
OCC-SAI-014,15.23752,145.72252,0
OCC-SAI-015,15.25729,145.76653,0
OCC-SAI-016,15.25657,145.76756,0
OCC-SAI-016,15.25657,145.76756,0
OCC-SAR-001,16.69862,145.78809,0
OCC-SAR-002,16.7106,145.76786,0
OCC-SUP-001,20.13995,145.09878,0
OCC-TIN-001,15.08043,145.6214,0
OCC-TIN-002,15.03461,145.65132,0
OCC-TIN-003,15.03475,145.65113,0
OCC-TIN-004,14.94079,145.62794,0
OCC-TIN-005,14.99062,145.60291,0
OCC-ZEA-001,16.68974,145.85348,0
OCC-SAI-017,15.25614,145.7676,0
OCC-SAI-017,15.25618,145.7679,0
